Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Coordinates,Latitude,Longitude
7/28/1943,22:43,"Trammel, Kentucky",American Airlines,63,Cleveland - Memphis,Douglas DC-3,NC16014,1552,22,20,0,"The aircraft crashed into trees while attempting to land in strong turbulence and violent downdrafts. There was evidence that most of the occupants in the cabin were victims of suffocation or fire, or both, because of their inability to effect an exit from the aircraft. Loss of control of the aircraft due to unusually severe turbulence and violent downdraft caused by a thunderstorm of unknown and unpredictable intensity.","36.7853194,-86.3533242",36.7853194,-86.3533242
4/22/1943,,"Off Port Moresby, New Guinea",Qantas,,,Short S-23,VH-ADU,S-844,13,13,0,Stalled and crashed in poor weather into the water during an emergency landing on the open sea. Broke up in heavy seas.,"-9.4438004,147.1802671",-9.4438004,147.1802671
10/23/1942,17:15,"Palm Springs, California",American Airlines,28,Palm Springs - New York City,Douglas DC-3 / Boeing B-34,NC16017,1555,13,12,0,"Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Boeing B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed.`","33.8302961,-116.5452921",33.8302961,-116.5452921
9/27/1942,,"Ameur el Ain, Algeria",Air France,,,Dewoitine D-342,F-ARIZ,1,25,25,0,Crashed during takeoff.,"36.4774821,2.5646624",36.4774821,2.5646624
8/13/1942,,"Algiers, Algeria",Air France,,,Liore et Olivier H-246 Air Boat,F-AREJ,403,,4,0,Attacked by Royal Air Force fighters.  Crashed in the water while attempting to land.,"36.7537680,3.0587561",36.753768,3.0587561
5/1/1942,23:00,"Salt Lake City, Utah",United Air Lines,4,San Francisco - New York City,Douglas DST-A-207A,NC18146,1978,17,17,0,"After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined.","40.7607793,-111.8910474",40.7607793,-111.8910474
2/20/1942,,"Off Belmont, Brisbane, Australia",Qantas,,,deHavilland DH-86,VH-USE,2309,9,9,0,Crashed shortly after takeoff after losing control in low clouds.,"-27.5063090,153.1375225",-27.506309,153.1375225
1/30/1942,," Kupang, Timor",Qantas,,,Short S-23 (flying boat),G-AEUH,S-850,18,13,0,Shot down by Japanese military aircraft. Owned by British Overseas Airways.,"-10.1771997,123.6070329",-10.1771997,123.6070329
1/16/1942,19:23," Las Vegas, Nevada",Trans World Airlines,3,Las Vegas - Los Angeles,Douglas DC-3,NC1946,3295,22,22,0,"The aircraft crashed into Mt. Potosi (Double Up Peak, Table Spring Mountain, Olcott Mountain), 32 miles SW of Las Vegas, NV, 15 minutes after taking off from the Western Airlines terminal building at Las Vegas. The aircraft clipped a rocky ledge, cartwheeled into the face of a cliff and exploded, scattering wreckage at the bottom of a ravine. Actress Carole Lombard, 33, her mother, and press agent  were killed in the crash. Her mother did not want to fly and a coin was tossed to see whether the trip would be made by train or plane. The actress was returning from a war-bond promotion.  The flight was 6.7 miles off course for unknown reasons.  Failure of the captain to follow a proper course and make use of navigation facilities available to him. A contributing factor was the blackout of beacons in the area made necessary because of the war emergency.","36.1699412,-115.1398296",36.1699412,-115.1398296
12/11/1941,,"Miami, Florida",American Airlines,,,,NC21V,,3,3,0,,"25.7616798,-80.1917902",25.7616798,-80.1917902
10/30/1941,22:10,"St. Thomas, Ontario, Canada",American Airlines,1,New York - Buffalo - Chicago - Detroit,Douglas DC-3,NC25663,2207,20,20,0,"The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown.","42.7777214,-81.1826527",42.7777214,-81.1826527
9/1/1941,,France,Air France,,,Bloch 220,F-AQNL,12,17,13,0,The aircraft crashed into lake Bolomon after engine failure during takeoff.,"46.2276380,2.2137490",46.227638,2.213749
1/23/1941,4:13," Robertson, Missouri",Trans World Airlines,6,"Kansas City, MO - New York",Douglas DC-3-3,NC17315,1930,13,2,0,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude.","38.7773630,-90.4050201",38.777363,-90.4050201
12/4/1940,17:48,"Chicago, Illinois",United Air Lines,21,New York City - Chicago,Douglas DC-3A,NC25678,2175,16,10,0,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.,"41.8781136,-87.6297982",41.8781136,-87.6297982
11/27/1940,,Mediterranean Sea,Air France,,,Farman F-224,F-AROA,2,6,6,0,Shot down by Italian aircraft.,"34.5531284,18.0480105",34.5531284,18.0480105
11/4/1940,4:42," Centerville, Utah",United Air Lines,16,Oakland - Salt Lake City,Douglas DC-3,NC16086,1925,10,10,0,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration.","40.9180005,-111.8721601",40.9180005,-111.8721601
7/7/1940,,Gulf of Tonkin,Air France,,,Dewoitine D-338,F-AQBA,1,,,,Shot down by a Japanese military fighter.,"19.7500000,107.7500000",19.75,107.75
6/20/1940,," Ouistreham, France",Air France,,,Dewoitine D-338,F-ARTD,22,1,1,0,Inadvertently shot down by French anti-aircraft fire.,"49.2766560,-0.2586580",49.276656,-0.258658
11/20/1939,,"Gosport, England",British Airways,,,Airspeed Oxford,G-AFFM,,2,2,,,"50.7949950,-1.1175470",50.794995,-1.117547
8/15/1939,,"Off Copenhagen, Denmark",British Airways,,London - Hamburg - Copenhagen,Lockheed 10 Electra,G-ASEY,,6,5,0,Crashed into the sea after a fire aboard.,"55.6760968,12.5683372",55.6760968,12.5683372
5/2/1939,," Marrakech, Morocco",Air France,,"Casablanca, Morocco - Dakar, Senegal",Dewoitine D-338,F-ARIC,25,9,9,0,Crashed due to icing.,"31.6294723,-7.9810845",31.6294723,-7.9810845
4/3/1939,," Marrakech, Morocco",Air France,,,Caudron C.635 Simoun,F-AOOT,7372,9,9,0,Crashed into a mountain.,"31.6294723,-7.9810845",31.6294723,-7.9810845
12/12/1938,,"Darwin, Australia",Qantas,,,Short S23 ‘C’ Class flying boat,G-AEUH,,13,13,0,Shot down by Japanese aircraft. Owned by Imperial Airways and operated by Qanta,"-12.4634403,130.8456418",-12.4634403,130.8456418
11/29/1938,5:30,"Off Point Reyes, California",United Air Lines,6,Medford - Oakland,Douglas DC 3-A-SB-3-G-14,NC16066,1907,7,7,0,"The aircraft ran out of fuel and ditched into the ocean. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply.","38.0177690,-122.9912711",38.017769,-122.9912711
11/2/1938,,"Somerset, England",British Airways,,,Lockheed 14 Electra,CF-TCL,,2,2,0,,"51.1050970,-2.9262307",51.105097,-2.9262307
5/24/1938,22:17,"Cleveland, Ohio",United Air Lines,9,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10,10,0,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.,"41.4993200,-81.6943605",41.49932,-81.6943605
5/10/1938,,"Mangere, New Zealand",United Air Lines,,,Lockheed 10 Electra,ZK-AFC,,2,2,0,,"-36.9737675,174.7892902",-36.9737675,174.7892902
3/23/1938,,"Corsavy, France",Air France,,,Dewoitine D-338,F-AQBB,2,8,8,0,The mail plane crashed into the Pyrenees mountains while en route.,"42.4660950,2.5783420",42.466095,2.578342
3/7/1938,,"Datia, India",Air France,,"Hanoi, Vietnam - Paris, France",Potez 621,F-ANQR,4031/12,7,7,0,Crashed and burst into flames shortly after taking off from Dum Dum.,"25.6845378,78.5660852",25.6845378,78.5660852
3/1/1938,21:30," Wawona, Cailifornia",Trans World Airlines,8,San Francisco - Burbank,Douglas DC-2-112,NC13789,1299,9,9,0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it ed the Tehachapi Mountains  Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.,"37.5368803,-119.6562684",37.5368803,-119.6562684
2/9/1938,,"Marseille, France",Air France,,"Marseille, France - Ajaccio, Corsica",Lioré-et-Olivier H-242,F-ANPB,5,12,8,0,The flying boat struck the breakwater at 60 miles an hour and burst into flames while attempting to take off.,"43.2964820,5.3697800",43.296482,5.36978
12/24/1937,17:30,"Kasperske Hory, Czechoslovakia",Air France,,Bucharest - Vienna - Prague - Paris,Wibault 283-T12,F-AMYD,11,3,3,0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error or for political reasons.","49.1429001,13.5561642",49.1429001,13.5561642
12/8/1937,,"Saint Sauveur, France",Air France,,,Potez 621,F-AOTZ,4213,7,2,0,Crashed in poor weather conditions.,"43.7496539,1.4004928",43.7496539,1.4004928
10/17/1937,21:00,"Haydens Peak, Wyoming",United Air Lines,1,Cheyenne - Salt Lake City,Douglas DC-3,NC16074,1914,19,19,0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Staticonditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front.","40.7346687,-110.8437819",40.7346687,-110.8437819
3/25/1937,18:40,"Clifton, Pennsylvania",Trans World Airlines,15A,Newark - Camden - Pittsburg,Douglas DC-2-112,NC13730,1256,13,13,0,Crashed while attempting to land. Heavy icing which rendered the plane uncontrollable.,"41.2509919,-75.5393155",41.2509919,-75.5393155
2/9/1937,20:50,"Off San Francisco, California",United Air Lines,23,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11,11,0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3.","37.7749295,-122.4194155",37.7749295,-122.4194155
12/27/1936,19:38,"Newhall, California",United Air Lines,34,Oakland - San Francisco - Los Angeles,Boeing 247-D,NC13355,1737,12,12,0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather.","34.3733610,-118.5400404",34.373361,-118.5400404
